fecha	hora	real	programado	desviacion	porcentaje
2016-01-12	2	7800,68312	2131,1	-5669,58312	-266,0402196048988800
2016-01-12	3	7509,994584	2112,6	-5397,394584	-255,4858744674808300
2016-01-12	4	7393,653863	2115,7	-5277,953863	-249,4660803989223400
2016-01-12	5	7418,719521	2112,0	-5306,719521	-251,2651288352272700
2016-01-12	6	7435,909461	2104,1	-5331,809461	-253,4009534242669100
2016-01-12	7	7618,910659	2123,9	-5495,010659	-258,7226639201469000
2016-01-12	8	7761,843567	2105,4	-5656,443567	-268,6636062980906200
2016-01-12	9	8294,614742	2069,3	-6225,314742	-300,8415764751365200
2016-01-12	10	8717,096777	2083,0	-6634,096777	-318,4876033125300000
2016-01-12	11	8913,112586	2080,3	-6832,812586	-328,4532320338412700
2016-01-12	12	9041,76944600001	2077,2	-6964,56944600001	-335,2864166185254200
2016-01-12	13	9051,031374	2068,8	-6982,231374	-337,5015165313225100
2016-01-12	14	9073,524096	2063,5	-7010,024096	-339,7152457475163600
2016-01-12	15	9166,003985	2058,5	-7107,503985	-345,2758797668205000
2016-01-12	16	9230,05563	2067,2	-7162,85563	-346,5003690982972100
2016-01-12	17	9242,711992	2077,2	-7165,511992	-344,9601382630464100
2016-01-12	18	9014,31164	2082,6	-6931,71164	-332,8393181599923200
2016-01-12	19	8766,840851	2091,4	-6675,440851	-319,1852754614134100
2016-01-12	20	8657,642649	2118,9	-6538,742649	-308,5913751946764800
2016-01-12	21	8653,955869	2158,3	-6495,655869	-300,9616767363202500
2016-01-12	22	9093,221356	2197,5	-6895,721356	-313,7984689874857800
2016-01-12	23	9095,43292099999	2196,8	-6898,63292099999	-314,0309960396936500
2016-01-12	24	8576,192927	2182,4	-6393,792927	-292,9707169629765400
2016-01-13	1	8194,242655	2161,7	-6032,542655	-279,0647478836101200
2016-01-13	2	7736,454265	2133,2	-5603,254265	-262,6689604819051200
2016-01-13	3	7475,4695	2114,8	-5360,6695	-253,4835209003215400
2016-01-13	4	7320,582594	2117,1	-5203,482594	-245,7835054555760200
2016-01-13	5	7268,167075	2114,3	-5153,867075	-243,7623362342146300
2016-01-13	6	7336,250843	2106,8	-5229,450843	-248,2177161097398900
2016-01-13	7	7491,17493	2127,5	-5363,67493	-252,1116300822561700
2016-01-13	8	7612,722708	2110,0	-5502,722708	-260,7925454028436000
2016-01-13	9	8151,329997	2076,1	-6075,229997	-292,6270409421511500
